time,open,high,low,close,K,D
2017-01-30T09:30:00-05:00,22.27,22.27,21.83,22.0025,37.56002619161383,60.607693947267585
2017-01-31T09:30:00-05:00,22.05,22.13,22.05,22.0912,27.937393920243768,45.431152633559634
2017-02-01T09:30:00-05:00,22.41,22.41,22.2078,22.2736,27.383662161085294,30.960360757647624
2017-02-02T09:30:00-05:00,22.24,22.449,22.2,22.41,57.41137703382685,37.57747770505197
2017-02-03T09:30:00-05:00,22.29,22.38,22.28,22.38,76.30296177747861,53.69933365746359
2017-02-06T09:30:00-05:00,22.4,22.4,22.33,22.39,82.37183208532412,72.02872363220986
2017-02-07T09:30:00-05:00,22.47,22.5564,22.28,22.28,62.10311144765044,73.5926351034844
2017-02-08T09:30:00-05:00,22.4501,22.49,22.4501,22.49,63.67113357760849,69.38202570352767
2017-02-09T09:30:00-05:00,22.82,22.9247,22.82,22.9247,70.44691887996034,65.4070546350731
2017-02-10T09:30:00-05:00,22.99,23.02,22.94,22.97,94.02125797822578,76.04643681193154
2017-02-13T09:30:00-05:00,23.11,23.13,23,23.05,99.99999999999999,88.1560589527287
2017-02-14T09:30:00-05:00,23.13,23.22,23.1095,23.22,99.99999999999999,98.00708599274192
2017-02-15T09:30:00-05:00,23.15,23.17,23.085,23.1677,95.9107102950461,98.63690343168203
2017-02-16T09:30:00-05:00,23.09,23.09,22.929,22.98,77.76585199260994,91.22552076255202
2017-02-17T09:30:00-05:00,22.9725,23.15,22.9725,23.14,63.50360098893295,79.06005442552967
2017-02-21T09:30:00-05:00,23.27,23.34,23.2,23.2,54.8743677599172,65.3812735804867
2017-02-22T09:30:00-05:00,23.22,23.36,23.1725,23.1725,57.78629117932675,58.721419976058975
2017-02-23T09:30:00-05:00,23.31,23.43,22.88,22.97,39.15554496715434,50.605401302132776
2017-02-24T09:30:00-05:00,22.7,22.86,22.7,22.86,18.540734567790647,38.49419023809059
2017-02-27T09:30:00-05:00,22.9299,23.27,22.86,23.27,15.359902832043817,24.35206078899628
2017-02-28T09:30:00-05:00,23.4,23.4,23.0501,23.125,21.143993346234133,18.34821024868953
2017-03-01T09:30:00-05:00,23.2964,23.51,23.2964,23.495,38.79168605436712,25.098527410881687
2017-03-02T09:30:00-05:00,23.451,23.451,23.25,23.25,28.22377416316385,29.386484521255028
2017-03-03T09:30:00-05:00,23.25,23.25,23.1399,23.2,23.770644240376168,30.262034819302375
2017-03-06T09:30:00-05:00,23.19,23.2699,23.04,23.2699,10.33807649186384,20.77749829846795
2017-03-07T09:30:00-05:00,23.15,23.28,23.15,23.2447,9.1127596868817,14.407160139707235
2017-03-08T09:30:00-05:00,23.31,23.3199,23.202,23.2387,10.807239446750225,10.086025208498585
2017-03-09T09:30:00-05:00,23.22,23.22,22.9945,22.9945,6.592114487129604,8.837371206920507
2017-03-10T09:30:00-05:00,23.19,23.21,23.17,23.21,12.349455623833132,9.916269852570984
2017-03-13T09:30:00-04:00,23.32,23.43,23.3175,23.43,26.71923757832093,15.220269229761222
2017-03-14T09:30:00-04:00,23.32,23.38,23.21,23.38,43.34826821893885,27.472320473697636
2017-03-15T09:30:00-04:00,23.38,23.6,23.38,23.595,59.87901536031546,43.31550705252508
2017-03-16T09:30:00-04:00,23.7454,23.78,23.68,23.72,72.12710718224132,58.4514635871652
2017-03-17T09:30:00-04:00,23.7,23.8099,23.7,23.713,85.05322878281464,72.35311710845714
2017-03-20T09:30:00-04:00,23.63,23.71,23.63,23.7,88.14797289066412,81.7761029519067
